dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
ECOM,45,diagnostic,k=50,bi-encoder,LR,0.20080321285140562,0.5397412199630314,249,199,50,292,541,0,0,0.25000000000000006
ECOM,46,diagnostic,forced-1:1,string,MEC,0.3048780487804878,0.24214417744916822,410,285,125,131,541,0,0,
ECOM,46,diagnostic,forced-1:1,string,LR,0.3419593345656192,0.0,541,356,185,0,541,0,0,0.1
ECOM,46,diagnostic,forced-1:1,bi-encoder,MEC,0.24198250728862974,0.3659889094269871,343,260,83,198,541,0,0,
ECOM,46,diagnostic,forced-1:1,bi-encoder,LR,0.28277153558052437,0.012939001848428836,534,383,151,7,541,0,0,0.40000000000000013
ECOM,46,diagnostic,k=5,string,MEC,0.44,0.16820702402957485,450,252,198,91,541,0,0,
ECOM,46,diagnostic,k=5,string,LR,0.44680851063829785,0.21811460258780038,423,234,189,118,541,0,0,0.25000000000000006
ECOM,46,diagnostic,k=5,bi-encoder,MEC,0.31494252873563217,0.19593345656192238,435,298,137,106,541,0,0,
ECOM,46,diagnostic,k=5,bi-encoder,LR,0.2126865671641791,0.5046210720887245,268,211,57,273,541,0,0,0.30000000000000004
ECOM,46,diagnostic,k=50,string,MEC,0.5031578947368421,0.12199630314232902,475,236,239,66,541,0,0,
ECOM,46,diagnostic,k=50,string,LR,0.41595441595441596,0.3512014787430684,351,205,146,190,541,0,0,0.15000000000000002
ECOM,46,diagnostic,k=50,bi-encoder,MEC,0.3365200764818356,0.033271719038817,523,347,176,18,541,0,0,
ECOM,46,diagnostic,k=50,bi-encoder,LR,0.23465703971119134,0.4879852125693161,277,212,65,264,541,0,0,0.20000000000000004
ECOM,47,diagnostic,forced-1:1,string,MEC,0.29453681710213775,0.22181146025878004,421,297,124,120,541,0,0,
ECOM,47,diagnostic,forced-1:1,string,LR,0.3152804642166344,0.04436229205175601,517,354,163,24,541,0,0,0.40000000000000013
ECOM,47,diagnostic,forced-1:1,bi-encoder,MEC,0.2727272727272727,0.41035120147874304,319,232,87,222,541,0,0,
ECOM,47,diagnostic,forced-1:1,bi-encoder,LR,0.2966417910447761,0.009242144177449169,536,377,159,5,541,0,0,0.30000000000000004
ECOM,47,diagnostic,k=5,string,MEC,0.3991031390134529,0.1756007393715342,446,268,178,95,541,0,0,
ECOM,47,diagnostic,k=5,string,LR,0.35202492211838005,0.4066543438077634,321,208,113,220,541,0,0,0.30000000000000004
